id,text,class,filtered_sentence
1304,ඊයේ දවසේ අප්ඩේට් කර තිබූ Galle Gladiators ෆේස්බුක් පිටුවේ කවර් පිංතූරයේ ලසිත් මාලිංගව දක්වා ඇත 👀,Sports,ඉයේ දවස අප්ඩේට කර තිබ   ෆේස්බු පිට කවර පිංතූර ලසි මාලිංග ඇත 👀
1306,ගෙදර කට්ටිය මාර කරදරේ එයාලව ක්‍රිකට් මැච් එකක් බලන්න එක්ක යන්න කියලා ලංකාවේ ගොඩාක් තැන් වලින් කලින්ම ටිකට් අරන් තියාගෙන වැඩි මිලට විකුණන නිසා මේ පාර ෆැමිලි එකම නවසීලන්තයට එක්කන් යන්න හිතන් ඉන්නේ ශ්‍රී ලංකා නිව්සිලන්ඩ් සීරිස් එක බලන්න පොරTweets,Sports,ගෙදර කට්ට මාර කරදර එයාල ක්‍රිකට මැච එක බල එක්ක ය කිය ලංක ගොඩා තැ  කලින් ටිකට අර තියාගෙ මිල විකුන පාර ෆැම එකම නවසීලන්තය එක්ක ය හිත ඉ ලං නිව්සිලන්ඩ සීරිස එක බල පොර
1308,ගරු  සංවිධායකවරුනි  නායකයා හැර කණ්ඩායමේ සියළුම උන්ට දිනකට ත්‍රිපෝෂ ගුලිය බැගින් දිය යුතු යැයි මම යෝජනා කර සිටිනවා ,Sports,ගරු සංවිධායකවර නායක කන්ඩාය සියලු උන් දිනක ත්‍රිපෝෂ ගුල බැග දිය යුත යැ මම යෝජ කර සිටි
1310,ගම්පහ දිස්‌ත්‍රික්‌ අන්තර් ප්‍රාදේශීය ලේකම් කොට්ඨාශ මලල ක්‍රීඩා උළෙල  ,Sports,ගම්පහ දිස්‌ත්‍රික්‌ අන්තර ප්‍රාදේෂ ලේක කොට්ටාෂ මලල ක්‍රීඩ උලෙ
1312,යසිත් මාලිංග ඇවිත් හිටියා දොඩන්දුවේ මලු ලැල්ලට තාත්තා හම්බ වෙන්න  බස් එකෙන් බැහැලා ගිහින් පොටො එකක් ගහන් එන්න හිතුනා   ඇපල්…,Sports,යසි මාලිංග ඇවි හිටි දොඩන්ද මලු ලැල්ල තාත්ත හම්බ වෙ බස් එ බැහැ ගිහ පොට එක ගහ එ හිතු ඇපල්…
1314,යාලුවනේ මගෙන් පොඩි ඉල්ලීමක් අපේ රටේ ක්‍රීඩා කරන සියලුම දරුවන්ට සහ සියලුම ගුරුවරුන් සදහා පාඩම් මාලාවක් කරනවා පුලුවන්නම් මේ වීඩියෝ එක බලලා Subscribe කරලා Like එකක් දාලා shre කරලා උදව්වක් දෙන්න,Sports,යාලුවන ම පොඩි ඉල්ලීම අපේ රටේ ක්‍රීඩ කරන සියලු දරුවන් සියලු ගුරු සදහ පාඩ මාලාව කර පුලුවන්න වීඩි එක බල  කර  එක දා  කර උදව්ව දෙ
1316,යාපනය දිස්ත්‍රික් වොලිබෝල් සංගමය විසින් සංවිධානය කරන ලද යාපනය දිස්ත්‍රික් වොලිබෝල් තරඟාවලිය පසු ගිය  පෙරවරුවේ යාපනයේ සරස්වතී ප්‍රජා මධ්‍යස්ථාන ක්‍රීඩාංගණයේදී ආරම්භ විය,Sports,යාපන දිස්ත්‍රි වොලිබෝල සංගම සංවිධාන කරන ලද යාපන දිස්ත්‍රි වොලිබෝල තරගාවල පසු ගිය පෙරවර යාපන සරස්වත ප්‍රජ මධ්‍යස්ථා ක්‍රීඩාංගන අරම්බ විය
1318,තාමත් ලංකාවේ ක්‍රිකට් වැටෙන්න දෙන්නැතුව රැකගන්න හදන අපෙව් මිනිහෙක්❤️,Sports,තාම ලංක ක්‍රිකට වැටෙ දෙන්නැත රැකග හදන අපෙ මිනිහෙක්❤️
1320,ලෝක විශ්ව විද්‍යාල වොලිබෝල් සෙමි ෆයිනල්,Sports,ලෝක විෂ් විද්‍යා වොලිබෝල ස ෆයිනල
1322,ලන්කාවෙ වොලිබෝල් ප්‍රදානම ආයතනයෙන් සිලෙක්ශන් වලදි බලු වැඩ කරාට මට වොලිබෝල් නිසා හරි ගියා ❤️🙏🙏🙏🙏🙏,Sports,ලන්කාව වොලිබෝල ප්‍රදාන අයතන සිලෙක්ෂ වලදි බලු වැඩ කරා මට වොලිබෝල හරි ගි ❤️🙏🙏🙏🙏🙏
1324,ලන්කාවේ ක්‍රිකට් වැටිලා තියෙන මේ වෙලාවෙ LPL එක හරහා යම් උත්තේජනයක් ලැබිල තියෙනවාඒක උපරිමයෙන් ලබාගන්න හිටපු අපේ ක්‍රීඩකයන් බොක්කෙන් සපෝට් කරන්න ඕන වෙලාවක් මේක ,Sports,ලන්ක ක්‍රිකට වැට තියෙ වෙලාව  එක හරහ යම් උත්තේජනය ලැබ තියෙනවාඑක උපරිම ලබාග හිට අපේ ක්‍රීඩක බොක් සපෝට කර ඔන වෙලාව මේක
1326,ලංකාවේ ඉන්නව මීට වඩා වයසක වැඩ්ඩො මිරිහනෙදි ග්‍රවුන්ඩ් එකේ හවසට බලන්ඩෝ,Sports,ලංක ඉන්න මීට වයසක වැඩ්ඩ මිරිහනෙදි ග්‍රවුන්ඩ එකේ හවස බලන්ඩ
1328,ඕකම තමා මැච්වලටත් අදින්නෙ… ඕන්නම් පොඩ්ඩක් වෙනස් වෙයි ස්පොන්සර්ස්ලගෙ නම් එකතු වුනාම,Sports,ඔකම තමා මැච්වල අදින්නෙ… ඔන්න පොඩ්ඩ වෙනස වෙ ස්පොන්සර්ස්ල එකත වුනා
1330,ඕන් ඕන් ආයි තැන් තැන්වලින් ඇහෙන්න ගන්නවා මාලි සුපිරි වැඩ්ඩා බන් බඩ පොඩ්ඩක් තිබ්බට අවුලක් නෑ හොඳේ ඌ බැලන්ස් කරන් සෙල්ලම් කරනවා ගානට අපේ එකානෙ වගේ කතා🙂👍ආයි එන්නෑ කිව්වම ආයි බඩතඩියා නාකි ලොන්තයා ගගා බනිනවා හොඳ කියපු උන්ම😌💔,Sports,ඔන් ඔන් තැ තැන ඇහෙ ගන් මාලි සුපිරි වැඩ්ඩ බන් බඩ පොඩ්ඩ තිබ්බ අවුල හොද උ බැලන්ස කර සෙල්ල කර ගාන අපේ එකාන වගේ කතා🙂👍අ එන්නෑ කිව්ව බඩතඩි නා ලොන්ත ගගා බනි හොද කිය උන්ම😌💔
1332,ඇයි ටෙස් ගහන උන්ට ට් ගැහුවම පව් සිද්ද වෙනවද 😁😁,Sports,ටෙස ගහන උන් ට් ගැහුව පව් සිද් වෙනව 😁😁
1334,ඇමරිකාවේ ක්‍රිම්සන් ඇන්ඩ් ගෝල්ඩ් ආරාධිත ගෘහස්ත මලල ක්‍රීඩා තරගාවලියට එක්වෙමින් උෂාන් තිවංක දැක්වූ දක්ෂතාව මීටර්  ක් වේ එය එම තරගාවලියේ වාර්තාව ද අලුත් කිරීමක් වේ,Sports,ඇමරික ක්‍රිම්ස ඇන්ඩ ගෝල්ඩ අරාධිත ගෘහස්ත මලල ක්‍රීඩ තරගාවලිය එක්වෙ උෂා තිවංක දැක්ව දක්ෂතා මීටර වේ එය තරගාවලි වාර්තා අලු කිරීම වේ
1336,ආදරය විනොදය සතුට මිත්‍රත්වය හැමදාමත් වොලිබෝල් වල තිබුණ,Sports,අදර විනොද සතු මිත්‍රත්ව හැමදාම වොලිබෝල වල තිබ
1338,අවසන් පූර්ව තරගයට කවුරුන් ඒවිද ගැලැක්සි කුසලාන වොලිබෝල් තරගාවලියේ දෙවෙනි දවස නිමාවන විට එක් එක් කණ්ඩායම් වල තත්වය සෑම කණ්ඩායමකටම තව එක් තරගයක් බැගින් ඉතිරි වී ඇත,Sports,අවස පූර් තරගය කවුර එවි ගැලැක්සි කුසලා වොලිබෝල තරගාවලි දෙවෙ දවස නිමාව එක් එක් කන්ඩාය වල තත්ව සෑම කන්ඩායමකට එක් තරගය බැග ඉතිරි වී ඇත
1340,අවුරුදු ගානක් රටට සෙල්ලම් කරාරටට දිනුම් ගෙනාවාරටේ නම ලෝකෙ වටේ තිබ්බ ලීග් වලට ගෙනි යැව්වාතමන්ගේ රටෙත් සුපිරි ලීග් එකක් ඕන කීවා,Sports,අවුරුද ගාන රටට සෙල්ල කරාරට දින ගෙනාවාරට නම ලෝක වටේ තිබ්බ ලීග වලට ගෙ යැව්වාතම රටෙ සුපිරි ලීග එක ඔන කී
1342,අත් දෙකට බුදු සරන ඇති මොකක්ද වොලිබෝල් එක වගේ සොෆ්ට් නැහැනෙ බාස්කට් බෝල් එක😂😂😂,Sports,අත් දෙක බුද සරන මොකක් වොලිබෝල එක වගේ සොෆ්ට නැහැන බාස්කට බෝල එක😂😂😂
1344,අඩෝහ්හ් මන් වොලිබෝල් ගහන්නෑ ඒත් කමෙන්ට් බලද්දි මොකක්ද් වගේ😁😅😅,Sports,අඩෝහ්හ මන් වොලිබෝල ගහන්නෑ එත් කමෙන්ට බලද්දි මොකක්ද වගේ😁😅😅
1346,අනේ හුකන්නෝ ක්‍රිකට් ගහනව නම් ක්‍රිකට් ගහන් හිටපල්ලා පුක දීගෙන හැමිනෙන්නේ නැතුව  තොපේ අම්මගේ රෙද්ද කලු සල්ලි කිව්ව…,Sports,හුක ක්‍රිකට ගහන ක්‍රිකට ගහ හිට පුක දීගෙ හැමිනෙ නැත තොප අම්ම රෙද් කලු සල්ලි කිව්ව…
1347,අනේ හුකන්නෝ ක්‍රිකට් ගහනව නම් ක්‍රිකට් ගහන් හිටපල්ලා පුක දීගෙන හැමිනෙන්නේ නැතුව  තොපේ අම්මගේ රෙද්ද කලු සල්ලි කිව්ව ගමන් ට්‍රිගර් වෙන ගොන් පකයො ටිකක් දාගෙන  ගහන මොන ක්‍රිකට් ද මේවා ,Sports,හුක ක්‍රිකට ගහන ක්‍රිකට ගහ හිට පුක දීගෙ හැමිනෙ නැත තොප අම්ම රෙද් කලු සල්ලි කිව් ගම ට්‍රිගර ගො පකය ටික දාගෙ ගහන මොන ක්‍රිකට මේ
1350,අනාගතයේ හොද ක්‍රීඩකයෙක් බිහිවෙයි,Sports,අනාගත හොද ක්‍රීඩකය බිහිවෙ
1352,අනිත් අය සෙල්ලම් කරන දිහා බලගෙන විදෙවුව තැනුත් නැතුවාම නෙවෙයිMY LOVE MY HART MY LIFE ❤️❤️😘😘 වොලිබෝල් 😘😘❤️❤️,Sports,අනි අය සෙල්ල කරන දිහ බලගෙ විදෙව තැනු නැතුවා නෙවෙයි      ❤️❤️😘😘 වොලිබෝල 😘😘❤️❤️
1354,අනිත් ටීම් එක ප්‍රබලනම් මාගේ උපාය උපරිම උත්සහා කරලා නෙට් ගහාන වෙලාට එහා පැත්තේ සෙටාට පුරෝලා ඔලුවට එකක් දෙන එක මොලේ හෙල්ලුනම සෙට් දෙකක් යනකන් අපිට නතින් සෙටා බුල,Sports,අනි ට එක ප්‍රබලන ම උපා උපරි උත්සහ කර නෙට ගහා වෙලා එහා පැත්ත සෙටා පුරෝ ඔලුව එක දෙන එක මොල හෙල්ලුන සෙට දෙක යනක අපි නත සෙට බුල
1356,අමුතු තීරණ සමගින් පාසල් මලල ක්‍රීඩා තරගාවලිය අවසන් වෙයි – මාරිස්ටෙලා හා වලල ශූරයන් හා ශූරියන්…,Sports,අමුත තීරන සමග පාසල මලල ක්‍රීඩ තරගාවල අවස වෙ  මාරිස්ටෙ වලල ෂූර ෂූරියන්…
1358,අපෙත් ටීම් එකක් දාල මැච් එකක් ගහමුකො බන්න්න්න්,Sports,අපෙ ට එක දාල මැච එක ගහමුක බන්න්න්
1360,අපේ සමහරක් උන් හිතන්නෙ ipl ගහන උන් විතරයි වැඩකාරයෝ කියලා අපි ඇෆ්ගන්ලගෙන් කාපු දවසුත් තිබ්බා ඇෆ්ගන්ලා අපිට හොඳ තරග දීපූ දවසුත් තිබ්බා,Sports,අපේ සමහර උන් හිතන්න  ගහන උන් විතර වැඩකාර කිය අපි ඇෆ්ගන්ල කා දවසු තිබ්බ ඇෆ්ගන් අපි හොද තරග දීප දවසු තිබ්බ
1362,අපිව නම් අහුවුනා ඕයි😕 ඩිෆ් දහයගානෙ ගැස්සුවා🤫,Sports,අපි අහුවු ඔයි😕 ඩිෆ දහයගාන ගැස්සුවා🤫
1364,අදිනකොට ඇදිල හැදෙන තැන් අත පය හතර සෙට් නම් ගේම ගහගන්න පුළුවන් බන්,Sports,අදිනකො ඇද හැදෙ තැ අත පය හතර සෙට ගේම ගහග පුලු බන්
1366,අද මහේලවත් ගෙන්නවලු 😥😥,Sports,අද මහේල ගෙන්නවල 😥😥
1368,ටීම්  ට සුබ පතනවා හොඳ තරග ටිකක් අපිට බලන්න පුළුවන් වෙන්න කියලා ,Sports,ට සුබ පත හොද තරග ටික අපි බල පුලු වෙ කිය
1370,රූපේ විතරක් වැඩක් නෑ බන්talent skills තියෙන්ඩත් ඕනේකෝලි වගේ ෆුල් පැකේජ් එකක් වෙන්ඩ ඕනේ,Sports,රූප විතර වැඩ බන්  තියෙන්ඩ ඔනේකෝලි වගේ ෆුල පැකේජ එක වෙන්ඩ ඔනේ
1372,රිටන් කැච් එකක් ආව දාට තමයි කොත්තිගොඩයට හික් ගෑවෙන්නේ 😂,Sports,රිට කැච එක අව දාට තම කොත්තිගොඩය හි ගෑවෙ 😂
1374,රන්කුසලාන ෆයිනල් 😂,Sports,රන්කුසලා ෆයිනල 😂
1376,රන්කුසලාන  න් පහල අවසන් නා යුනයිටඩ් සහ වෙන් ජෝශප්වාස්,Sports,රන්කුසලා න් පහල අවස නා යුනයිටඩ  ජෝෂප්වාස
1378,නෙට් එකෙන් පනින නොපනින තරමට රිසීවින් ඩිෆෙන්ස් දුන්නම සෙටා බස්සයි ලස්සනට බෝලෙ එහා කොටුවට පාස් එක අල්ලන්නේ නැතුවබ්ලොක් එන අයගෙ නොසැලකිල්ල නිසා ලකුණක් පූජා කරීම නිතර සිදුවෙනව මෙවැනි අවස්ථාවන්,Sports,නෙට එ පනි නොපනි තරම රිසීව ඩිෆෙන්ස දුන්න සෙට බස්ස ලස්සන බෝල එහා කොටුව පාස එක අල්ල නැතුවබ්ලො එන අය නොසැලක ලකුන පූජ කරී සිදුවෙන මෙ අවස්ථා
1380,නැහැදවසට ඕවර්  ගානේ දවස් ක්,Sports,නැහැදවස ඔවර ගාන දවස
1382,නදීකා ලක්මාලී ලෝක ශූරතා මලල ක්‍රීඩා තරගාවලියේ අවසන් තරගයකට සුදුසුකම් ලබයි,Sports,නදී ලක්මාල ලෝක ෂූරත මලල ක්‍රීඩ තරගාවලි අවස තරගයක සුදුසුක ලබ
1384,ජාතික ක්‍රීඩා උළෙල ලැජ්ජාව හා ජයග්‍රහණ සමග නිමා වෙයි නිළධාරීන්ගේ වල ඉහ ගැනීම අසාර්ථකයි,Sports,ජාතික ක්‍රීඩ උලෙ ලැජ්ජා ජයග්‍රහන නිම වෙ නිලධාරී වල ඉහ ගැනී අසාර්ථක
1386,ජාතික කණ්ඩායම නියෝජනය කල මහේල ඉන්දීවරගේ නායකත්වයෙන් ගැලැක්සි කුසලානය සොයා යන කළුතර ගෝල්ඩන් ටයිගර්ස් කණ්ඩායමශ්‍රී ලංකාව වෙනුවෙන් ප්‍රථම යොවුන් ඔලිම්පික් වෙරල වොලිබෝල් තරඟාවලිය නියෝජනය කල චාමික සඳරුවන් ද මෙම කණ්ඩායම නියෝජනය කරයි,Sports,ජාතික කන්ඩාය නියෝජන කල මහේ ඉන්දීවර නායකත්ව ගැලැක්සි කුසලාන සො කලුතර ගෝල්ඩ ටයිගර්ස කන්ඩායමෂ්‍ර ලංකා ප්‍රථ යොව ඔලිම්පි වෙර වොලිබෝල තරගාවල නියෝජන කල චාමික සදරු කන්ඩාය නියෝජන කර
1388,ජාතික කණ්ඩයමෙ අද පුහුනුකරු චන්න සමන්සිරි,Sports,ජාතික කන්ඩයම අද පුහුනුකර ච සමන්සිරි
1390,ජාතික මහා ක්‍රීඩා උළෙලේ මැරතන් තරග ඇවිදීම හා පාපැදි තරග ,Sports,ජාතික ක්‍රීඩ උලෙල මැරත තරග ඇවිදී පාපැදි තරග
1392,ජීවිතයේ ලොකුම පසුතැවිල්ල ගැන ලසිත් හෙළිකරයි malinga මෙවර අයිපීඑල් තරගාවලියේදී ඔබව වෙන්දේසියට ඉදිරිපත් කළේ නැහැ ඒ වෙනුවට නිත්‍ය ක්‍රීඩකයෙකු හැටියට නම් කර කණ්ඩායමට ඇතුළත් කරගෙන තිබෙනවා දැන් මේ සම්බන්ධවත් කටකතාවක් පැතිරෙනවා ඒ තමයි වෙන්දේසියට ඉදිරිපත් කරන්න තරම් දැන් ඔබට ඉල්ලුමක් නැහැ කියන එක,Sports,ජීවිත ලොකු පසුතැව ලසි හෙලිකර  මෙවර අයිපීඑල තරගාවලි ඔබව වෙන්දේසිය ඉදිරිප කලේ නැහැ නිත්‍ ක්‍රීඩක හැටිය කර කන්ඩායම ඇතුල කරගෙ තිබෙ සම්බන්ධ කටකතාව පැතිරෙ තම වෙන්දේසිය ඉදිරිප කර තර ඔබට ඉල්ලුම නැහැ කිය එක
1394,ජයලත් අභියෝගතා කුසලාන  න් පහල තරගාවලිය ගම්පහ මැක්වත්ත ක්‍රීඩාංගණයේදී ශූරතාවය  රදාවාන ගෝල්ඩන් බර්ඩ් අනුශූරතාවය  ගම්පහ සියනෑ,Sports,ජයල අබියෝගත කුසලා න් පහල තරගාවල ගම්පහ මැක්වත්ත ක්‍රීඩාංගන ෂූරතාව රදාවා ගෝල්ඩ බර්ඩ අනුෂූරතාව ගම්පහ සියනෑ
1396,ඔයාලට මොකද හිතෙනේ match එකේ අපිට කොටනද වැරදුනේ ,Sports,ඔයාල මොක හිතෙන  එකේ අපි කොටන වැරදුන
1398,ඔය කොහොම ගහනවා කීවත්  කට්ටිය බැස්ස ගමන් ගහන ගැහිල්ල බලපල්ලකෝ ඇඩෙයි ඈ 😁  ගහන්නෙ ක්‍රිකට් හොදේ 😇,Sports,ඔය කොහො ගහ කී කට්ට බැස්ස ගම ගහන ගැහ බලපල්ලක ඇඩෙ ඇ 😁 ගහන්න ක්‍රිකට හොද 😇
1400,ඔතන ඇත්තටම මාලිංග කියල කෙනෙක් නෑ මාලිංග කියන්නෙ හෙලවෙන මනසට 😌,Sports,ඔතන ඇත්තට මාලිංග කිය කෙන මාලිංග කියන්න හෙලවෙ මනස 😌
1402,ඒකඒක ඒව නෙවෙයි වැඩ පෙන්නපන් ඉන්දිය ටිමිඑකේ බුබිබරයගේ ඔවරයට   ගහපන්කො ඉස්සෙල්ලා,Sports,එකඑක එව නෙවෙ වැඩ පෙන්න ඉන්ද ටිමිඑ බුබිබර ඔවරය ගහපන්ක ඉස්සෙ
1404,ඒ කාලෙ ලංකාව පුරා දස්කම්පෙන්නපු අයඅද ජාතිකපුහුණුකරුවොගුරුවරු වෙලා එයාල,Sports,කාල ලංකා පුර දස්කම්පෙන්න අයඅ ජාතිකපුහුනුකරුවොගුරු වෙ එයා
1406,ඒ අත් වලට වොලොබෝල් පිහිටයීඉස්සර මුල් කාලේ අත් ෆිට් වෙන්න කියලා අපිටත් දීලා තියනවා ඔකෙන් සෙල්ලම් කරන්නවේදනාව මතක් උනා😂,Sports,අත් වලට වොලොබෝල පිහිටයීඉස්සර මුල කාල අත් ෆිට වෙ කිය අපි දී තිය ඔ සෙල්ල කරන්නවේදනා මත උනා😂
1408,ඒ බැල්ම ක්‍රිකට් වලට කැමති ඕන කෙනෙක්ව පිස්සෙක් කරනවමන්දනා ❤❤❤❤❤❤,Sports,බැල් ක්‍රිකට වලට කැම ඔන කෙනෙක් පිස්ස කරනවමන්ද ❤❤❤❤❤❤
1410,එහා පිලට ලකුනක්ද එහෙම එකපාර නොදා හිටියොත් දැන් වොලිබෝල් නීති වෙනසක් වෙලාද,Sports,එහා පිල ලකුනක් එහෙ එකපාර නොද හිටිය වොලිබෝල නී වෙනස වෙලා
1412,එක සෙට් එකයි හම්බුනේ රන්කුසලාන  න් පහල අවසන් නා යුනයිටඩ් සහ වෙන් ජෝශප්වාස්,Sports,එක සෙට එක හම්බුන රන්කුසලා න් පහල අවස නා යුනයිටඩ  ජෝෂප්වාස
1414,එයා දානවා මෙයා ගහනවා ඇති ඒ බෝල් වලට සෙල්ලම් කලා කියන්නේ අපේ බෝලස්ලට නතින් ඉතින්,Sports,එයා දා මෙ ගහ බෝල වලට සෙල්ල කලා කිය අපේ බෝලස්ල නත
1416,එලියෙන් ලස්සන නන්ගියෙක් හිට්ටුවත් ඇති එදාට කොහේ තියන පාරවල්ද කොහෙ තියන ජම්ප් එකක්ද මන්දා යන්නේ උන්ට ගහාලම මහාන්සී බෝලේ උඩ දාන දැමිල්ලට,Sports,එලි ලස්ස නන්ගිය හිට්ටු එදා කොහ තිය පාරවල් කොහ තිය ජම්ප එකක් මන්ද ය උන් ගහාල මහාන්ස බෝල උඩ දාන දැමිල්ල
1418,මෙහෙමයි මුලින් එන්නේ නැ කියලා කියනවා එතකොට අනිත් ටීම් මාලිංග ගෙ යෝකර් වලට practice කරන්නේ නැ ඊට පස්සේ tournament මැදදී එකපාරටම ඇවිල්ලා surprise කරනවා,Sports,මෙහෙම මුල එ නැ කිය කිය එතකො අනි ට මාලිංග ගෙ යෝකර වලට  කර නැ ඉට පස්ස  මැදද එකපාරට ඇවි  කර
1420,මෙයාලා මේ කියන්නෙ ක්‍රිකට් ගහන එක ගැනද කෙල්ලො  නම් ම්ම්ම්ම් ඒත් අන්තිමට අර කොල්ලට මොකක් වෙයිද 😂😂🏃🔪 TCLSLමඩ ,Sports,මෙයා කියන්න ක්‍රිකට ගහන එක ගැන කෙල්ල ම්ම්ම් එත් අන්තිම අර කොල්ල මොක වෙයි 😂😂🏃🔪 මඩ
1422,මෙතන ඉන්න මොන විදෙස් ක්‍රීඩ්කයෙක්වත් අඩුතක්සේරු කරන්න බෑ හොඳ තරගාවලියක් බලාගන්න පුලුවන් වෙයි ❤️,Sports,මෙත ඉ මොන විදෙස ක්‍රීඩ්කයෙක් අඩුතක්සේර කර බෑ හොද තරගාවලිය බලාග පුලු වෙ ❤️
1424,මේක තමයි   වෙන්නේ maxwell අපිට ගහන්න ගතහම,Sports,මේක තම වෙ  අපි ගහ ගතහ
1426,මේ දාස් වල ටීම් එකෙන් ටීම් එකට මඩ ගහ ගන්නව😂😂 සික් යකෝ ඔක්කොම ශ්‍රිලංකන් ටීම් නේද වෙන රටවලින් ආවොත් කෝම තියේද යුද පිටියක් වෙලා තියෙයි,Sports,දාස වල ට එ ට එකට මඩ ගහ ගන්නව😂😂 සි යකෝ ඔක්කො ෂ්‍රිලංක ට නේද රට අව කෝම තියේ යුද පිටිය වෙ තියෙ
1428,මොන ටීම් එක දිනුවත් මට කමක් නෑමේක මම කාලයක් තිස්සේ දැකපු හීනයක් බං ලංකාවේ ලීග් එකක් ගහනවා දකින එක බීපීඑල් බලද්දිත් කලින් හිතපු දෙයක් බංග්ලාදේශෙටත් පුලුවන් නම් ඇයි ලංකාවට මේක බැරි කියලා කොහොම හරි ඒ හීනෙත් හැබෑ උනා පට්ට සතුටුයි බං❤❤,Sports,මොන ට එක දිනු මට කම නෑම මම කාලය තිස්ස දැක හීනය බං ලංක ලීග එක ගහ දකි එක බීපීඑල බලද්දි කල හිත දෙය බංග්ලාදේෂෙ පුලු ලංකාව මේක බැරි කිය කොහො හරි හීනෙ හැබෑ උනා පට් සතුටු බං❤❤
1430,මාලිට Lpl එන්නෑ කිව්වම ජොලා ජොලා ගාපු අය Rubelගෙන් original post එකේ ගේම ඉල්ලන අපූරුව 😂😂😂 We are so SriLankans 😁,Sports,මාලි  එන්නෑ කිව්ව ජො ජො ගා අය    එකේ ගේම ඉල්ල අපූර 😂😂😂     😁
1432,මාලිංග යනු බැහැගෙන යන ඉරක් යඔහුගේ අවස්ථාව අලුත් කොල්ලෙක්ට දුන්නොත් අලුත් බලාපොරොත්තු වක් තියා ගන්න පුළුවන්,Sports,මාලිංග යනු බැහැගෙ ඉර යඔහු අවස්ථා අලු කොල්ලෙක් දුන්න අලු බලාපොරොත්ත වක් ති ග පුලු
1434,මාරුවට සෙල්ලම් karanwa,Sports,මාරුව සෙල්ල
1436,මැච් එකට දවස් ගානක් තියල මෙහෙම නම් ලං වෙනකොට කොහොම තියෙයිද    TCLSL,Sports,මැච එකට දවස ගාන තිය මෙහෙ ලං වෙනකො කොහො තියෙයි
1438,මුරලිදරන් ගේ ඉන්ටර්වීව් සීරිස් එකේ දෙවනි එක මයුමි රහීම්ස් ගෙනාවා නම් හරි නේද යාළුවනේ ඔලිම්පික් ප්‍රොෆයිල් එකක්නේ ඉතිං…,Sports,මුරලිදර ඉන්ටර්වී සීරිස එකේ දෙ එක මයු රහීම්ස ගෙන හරි නේද යාලුවන ඔලිම්පි ප්‍රොෆයිල එකක්න ඉතිං…
1440,මී  බාධක දිවීම පිරිමි  ජයග්‍රහණය  පුශ්පකුමාර් ,Sports,මී බාධක දිවී පිරි ජයග්‍රහන පුෂ්පකුමාර
1442,මතකද match එක පටන්ගන කලින් අපේ මූඩ් එක වෙනස් කරපු මේ තුන් කට්ටුවව,Sports,මතක  එක පටන්ග කල අපේ මූඩ එක වෙනස කර ත කට්ටුව
1444,මලල ක්‍රීඩාවේ වටිනාකම – ගුවනේ ඉදිකළ අමුතු ධාවන පථය,Sports,මලල ක්‍රීඩ වටිනාක  ගුවන ඉදිකල අමුත ධාව පථය
1446,මටනම් හිතෙන්නම මාලින්ගයා මැදදි හරි සෙට් වෙයි කියලා ටීම් එකට 😂,Sports,මටන හිතෙන්න මාලින්ග මැදදි හරි සෙට වෙ කිය ට එකට 😂
1448,මට හිතෙන්නේ මෙතන තියෙන්නේ නායකත්වයේ ප්‍රශ්නයක් WC එකට කලින් වගේ ,Sports,මට හිතෙ මෙත තියෙ නායකත්ව ප්‍රෂ්නය  එකට කල වගේ
1450,මම ඔකට ඇබ්බැහි වේද්දි මට අවුරුදු  ඉස්සර මම බෝල එහිලුව දැන් බෝල උඩ දනවා අදරේයි මේකට ගෝඩක් ♥️,Sports,මම ඔකට ඇබ්බැ වේද්දි මට අවුරුද ඉස්සර මම බෝල එහිල බෝල උඩ ද අදරේ මේක ගෝඩ ♥️
1452,මදැයි😡 කෝර්ඩ් එකත් අලුනතන් හදලා අලුතෙන් බෝල දෙකකුත් ගෙනාවා විතරයි මුළු දවසම වහිනවා😞😡,Sports,මදැයි😡 කෝර්ඩ එක අලුනත හද අලුත බෝල දෙකකු ගෙන විතර මුල දවස වහිනවා😞😡
1454,මචන්ලා සර්විස් කරන්න ඇවිත් බෝලේ උඩදානවා නමුත් සර්විස් දාන්නෙ නෑ බෝලේ කෙලින්ම කෝඩ් එක ඇතුළට වැටෙනවා ආපහු ඇහිදලා බෝලේ ආයෙත් සර්විස් දාන්න පුලුවන්ද  නැත්තම් ඒක ෆව්ල්ද,Sports,මචන් සර්විස කර ඇවි බෝල උඩදා සර්විස දාන්න බෝල කෙලින් කෝඩ එක ඇතුල වැටෙ අප ඇහිද බෝල අයෙ සර්විස දා පුලුවන් නැත්ත එක ෆව්ල්
1456,මචන්ලා මෙමෙ රූපයේ කඩ ඉරි වලින් ඇති ප්‍රදේශයේ සිට පන්දු පිරිනැමීම සේවිස් දාන්න පුලුවන්ද  පැහැදිලි පිලිතුරක් 😊,Sports,මචන් මෙම රූප කඩ ඉරි  ප්‍රදේෂ පන්ද පිරිනැමී සේවිස දා පුලුවන් පැහැද පිලිතුර 😊
1458,ප්වර් ප්ලේ එකෙයි මිඩ්ල් ඕවර්ස් වලයි හොඳ වැඩක් අරගන්න පුලුවන් 👏,Sports,ප්වර ප්ල එකෙ මිඩ්ල ඔවර්ස වල හොද වැඩ අරග පුලු 👏
