id,text,class,filtered_sentence
632,සුභ තයි පොංගල් දිනයක් වේවා වේ හා සකල ලෝ වැසි හින්දු ජනතාවට ThaiPongal srilanka   ,Religious,සබ තය පගල දනය ව ව සකල ල වස හනද ජනතව
634,සිතන්න ඔබ හෘදසාක්ෂියට එකගව මේ ආගමික මිත්‍යා මතයන් පරාජය කලයුතු නොවේද,Religious,සත ඔබ හදසකෂය එකග අගමක මත මත පරජ කලයත නව
636,සිංහල හින්දු අලුත් අවුරුදු කෑම,Religious,සහ හනද අල අවරද කම
638,සෑම විටම දෙවියන් වහන්සේගේ කැමැත්තට ඉඩ දෙන්න,Religious,සම වට දව වහනස කමතත ඉඩ ද
640,සමහරුන් දේව මාලිගාව ගැන කතා කරමින් එය මනහර ගලින් හා පූජා වස්තුවලින් ද සරසා තිබෙන නියාව පැවසූ විට උන් වහන්සේ කතා කොට  ”ඔබට පෙනෙන මේ දෙය ගලක් පිට ගලක් ඉතිරි නොවන සේ බිඳ දමනු ලබන කාලයක් පැමිණෙන්නේ ය”යි වදාළ සේක,Religious,සමහර දව මලග කත කර එය මනහර ගල පජ වසත සරස තබ නය පවස උන වහනස කත කට  ඔබට පන දය ගල පට ගල ඉතර නව බද දම ලබන කලය පමන  ය වදල
642,සමතා බලවේගය මාරකඑපා යැයි අධිෂ්ඨාණපූජාවට පැමිණීමට පෙර  රැවන්විජේවර්ධන නිකමා තකහනියක් අැවිත් මල්වතුඅස්ගිරි මහනාහිමිවරැ වෙත විමල් වීරවංශට Jvpයට වන්දි ගෙවීමට මුදල් පිණ්ඩපාතේට මැදගොඩඅභයතිස්ස ස්වාමින්වහන්සේ දළදාමාලිගාව ට වඩින බව දන්වා අපාගත වන මහාමුසාවාදයක් කරන ලදී🧐🤔 ,Religious,සමත බලවග මරකඑප ය අධෂටනපජව පමනම පර රවනවජවරධ නකම තකහනය අව මලවතඅසගර මහනහමවර වමල වරවෂ ය වනද ගවම මදල පනඩපත මදගඩඅබයතසස සවමනවහනස දලදමලග වඩ දන අපගත මහමසවදය කරන ලද
644,ශ්‍රේෂ්ඨ බෞද්ධ රාජ්‍ය ක් වශයෙන් උදම් අනන අපේ රටේ කඳ සුරිඳු මංගල්‍යය මෙතරම් උලුප්පා  ඇසල පෝයටත් ඉහළින් දක්වන්නේ ඇයි,Religious,ෂරෂට බදධ රජ උද අනන අප රට කද සරද මගලය මතර උලපප ඇසල පය ඉහල දකව
646,ශ්‍රි ලාංකික බැතිමතුන් විසින් තම නිවෙස් වල ගනේෂ් චතුර්ති උත්සව​ය සැමරූ හැටි ,Religious,ෂර ලකක බතමත තම නවස වල ගනෂ චතර උතසව සමර හට
648,වෙසක්‌ සඳ අතරින් දෝරෙ ගලන නරකාදියක්‌  රට පුරාම තරුණ පිරිස රැස්‌ කර මිටියාගොඩදී උමතු සාදයක්‌ ,Religious,වසක සද අතර දර ගලන නරකදයක රට පර තර පරස රස කර මටයගඩද උමත සදයක
650,වැරදි දැක්කත් ඒවා ප්‍රසිද්ධ කරලා තමන්ගෙ ආගම ගැන තියන වටිනාකමබක්තිය අන්ආගමිකයන් ඉස්සරා නැති කර ගන්නෙ නෑඅපිට හිතන්න සෑහෙන්න දේවල් තියෙනවා රැඩිකල් විදිහට හිතලා ටෑටු එකක් සාධාරණීකරනය කරන්න කලින්,Religious,වරද දකක එව පරසදධ කර තමන අගම තය වටනකමබකත අනඅගමක ඉසසර න කර ගනන නඅප හත සහ ද තය රඩකල වදහ හත ටට එක සධරනකරන කර කල
652,විල්පත්තුව රැක්කායආගම ජාතිය රැක්කාය කියන උන් බැසිල්ගෙ කටින්ම අහගනිල්ල මුස්ලිම් පල්ලි  හදලවිල්පත්තුව බදුර්දීන්ට සින්නකර දුන්න,Religious,වලපතත රකකයඅග ජත රකක කය උන බසල කටන අහගන මසල පලල හදලවලපතත බදරදන සනනකර ද
654,විපක්ෂ නායක ගරු මහින්ද රාජපක්ෂ මැතිතුමාගේ තෛපොංගල් පණිවුඩය,Religious,වපකෂ න ගර මහන රජපකෂ මත තපගල පනවඩ
656,වලහන්දූව වත්තේ දී ද තෛපොංගල් උත්සවයට එක්වෙයි තෛපොංගල් උත්සවය සමරමින් අභ්‍යන්තර හා ස්වදේශ කටයුතු සහ පළාත් සභා හා පළාත් පාලන අමාත්‍ය ගරු වජිර අබෙබ්වර්ධන මැතිතුමා ගාල්ල වලහන්දූව වත්තේ මුත්තුමාරි අම්මාන් කෝවිලේ පැවැති ,Religious,වලහනද වතත තපගල උතසවය එකව තපගල උතසව සමර අබයනතර සවදෂ කටයත පල සබ පල පල අමත ගර වජර අබබවරධ මතතම ගල වලහනද වතත මතතමර අමම කවල පව
658,හේතුත් ගෙන් සකස්වි වර්තමාන මේ මො⁣හොතේම නිරුද්ධ වන කෙනෙක් පුත්ගලයෙක් හෝ මගෙ සිත යැයි කියා පැනවිය නොහැකි සිත සිතුවිලි ක්‍රියාතාරිත්වය සියලු දෙනාටම අවබෝද ⁣වීමට සියලු හේතු සකස්වේවා තෙරුවන් සරණයි,Religious,හත  සකසව වරතම මහත නරදධ කන පතගලය හ මග සත ය ක පනව නහ සත සතව කරයතරතව සයල දනට අවබ වම සයල හත සකසව තර සරන
660,හොසන්නා හොසන්නා ක්‍රිස්තු රජානෙනි👑️👑️🙏🙏,Religious,හසන හසන කරසත රජනන
662,හිටපු කොටි සාමාජිකයෝ නත්තල් සමරති  පැරණි කොටි සාමාජිකයන් පුනරුත්ථාපනය කරන වව්නියා පුනරුත්ථාපන කඳවුරේ දි නත්තල් සැමරීම බදාදා රාත්‍රී,Religious,හට කට සමජක නතතල සමර පරන කට සමජක පනරතථපන කරන වවන පනරතථප කදවර ද නතතල සමර බදද රතර
664,හිරුත් එකයි උන්ගෙ ගොන් තකතීරු වැඩත් එකයි නැත්තම් මොළයක් තියෙන එකෙක් රුවන්වැලිසෑයෙන් ඔහොම ආතල් ගන්නවද අපේ හාමුදුරුවන්ටත් නිකන් ටීවි එකේ මුණ දාගන්න දෙනවා කිව්වම ඕනෙ ලබ්බකට හා කියනවා ඕවා බලන උන්ට ගහන්න ඕනෙ අර හිටංගෙ මඩු වලිගෙන් හිරුනම්සල්ලිතමයි fb,Religious,හර එක උන ග තකතර වඩ එක නතත මලය තය එක රවනවලස ඔහ අතල ගනනව අප හමදරවන නක ටව එක මන දග ද කවව ඔන ලබබක කය ඔව බලන උන ගහ ඔන අර හට මඩ වල හරනමසලලතම
666,හින්දු භක්තික සැමට සුභ තෛපොංගල් දිනයක් වේවා    නාලක බණ්ඩාර    ,Religious,හනද බකතක සම සබ තපගල දනය ව නලක බනඩර
668,කෙත් වතු සරුසාරයි වැවු අමුනු  පිරි ඉතිරි ගොසින් ලක් දෙරනේ පෙර මහා නගරය සන්තොසයි දකින්නට මෙසේ සැම කල්හිම නියගයෙන් තොර සදා  නමො බුද්දාය මෙ සැම  ශ්‍රිමා බොදින්ගේ කරුනාවෙන් යලි ලක් දෙරනේ නව නායකුට ආශිර්වාදයක්ද — in Anuradhapura ,Religious,ක වත සරසර වව අම පර ඉතර ගස ලක දරන පර නගර සනතස දකනන සම කලහ නයග තර සද නම බදද ම සම ෂරම බද කරන ලක දරන නයක අෂරවදයක
670,ක්‍රිස්තුස් වහන්සේ මුළු විශ්වයේ ම රජාණන් වශයෙන් පිළිගෙන ඔවුන් වහන්සේට විශේෂාකාරයෙන් ගෞරව නමස්කාර කිරීම මෙම මංගල්‍යය සැමරීමෙන් සිදු කෙරේ,Religious,කරසතස වහනස මල වෂව රජන පලග ඔව වහනස වෂෂකර ගර නමසකර කර මගලය සමර කර
672,ක්‍රිස්තුනි ඔබ වහන්සේට ප්‍රශංසා වේවා ,Religious,කරසත ඔබ වහනස පරෂස ව
674,ක්‍රිස්තු රජාණන්ගේ මංගල්‍යයේ වැදගත්කම,Religious,කරසත රජන මගලය වදගතක
676,ක්‍රිස්තු රජාණන් පිළිබඳ ශුද්ධ බයිබලීය ඉගැන්වීම්,Religious,කරසත රජන ෂදධ බයබල ඉගනව
678,කොහොමද ජේසුට ජීවිතේ බාර දෙන්නේ අහන්න මේ බොහෝ දෙනෙකුගේ ජිවිත වෙනස් කල පියවර හතරේ ඥාන කාන්තිය,Religious,කහම ජස ජවත බර ද අහ දන ජවත වනස කල පයවර හතර ඥන කනත
680,කාදිනල් ධුරයට පත්ව දස වසරක් සමරන අගරදගුරු අති උතුම් මැල්කම් කාදිනල් රංජිත් හිමිපාණනි අපි ඔබට  සුභාසිංශන මෙලෙස ගෙන එමු,Religious,කදනල ධරය පත දස වසර සමර අගරදගර අත උත මලක කදනල රජ හමපන අප ඔබට සබසෂ ගන එම
682,කවුරු මොනා කිවුවත් පොඩ්ඩක් කියලා බලපන් පල්ලියක්ට කෝවිලකට අර ප්‍රොජෙක්ශන් දාන්න කියලා උන් කියයි අපි එච්චර මෝඩ නෑ කියලා,Religious,කවර ම කව පඩඩ කය බල පලලයක කවලක අර පරජකෂ ද කය උන ක අප එචචර මඩ කය
684,කුරාණය තහනම් කරන්න නැතහොත් සංශෝධනය කරන්න පේජ් හේතුවාදී හඩ අලුත් පේජ් එකට ලයික් කරමු,Religious,කරන තහන කර නතහ සෂධන කර පජ හතවද හඩ අල පජ එකට ලය කර
686,කිසිවකුට හෝ පණ පිටින් රහත් විය හැකි ද,Religious,කසවක හ පන පට රහ වය හ
688,කතෝලික බැතිමතුන්ගේ දේව වන්දනාව වර්ෂ තුනකින් යුක්ත කතෝලික ලිතකින් සකස් වී ඇත,Religious,කතලක බතමත දව වනදන වරෂ තන යකත කතලක ලත සකස ව ඇත
690,කතෝලික ජනවන්දනා ලිතට අනුව විවිධ මංගල්‍ය උත්සව සැමරීම සිදුවේ ,Religious,කතලක ජනවනද ලත වවධ මගල උතස සමර සද
692,කතෝලික ඔබේ ජංගම දුරකථනයේ අනිවාර්යයෙන්ම තිබිය යුතු App එකක් තමයි  සුබ අස්න  App එක…,Religious,කතලක ඔබ ජග දරකථන අනවරයයන තබ යත  එක තම සබ අස  එක
694,කර්මය වෙනස් කල හැකියි චුල්ල කම්ම විබංග සූත්‍රය කියවන්න…,Religious,කරම වනස කල හක චල කම වබග සතර කයවනන
696,කරුණාබර වූ ජේසු පියාණෙනි අපට කමා වුව මැනව,Religious,කරනබර ව ජස පයන අපට කම වව මන
698,ගෞතම බුදුරජුන්ගේ සාම සංදේශය බුද්ධිමත් දෙව් මිනිසුන් උදෙසා,Religious,ගත බදරජ සම සදෂ බදධම ද මනස
700,ගණ දෙවියන් වන්දනාමාන කරන ඔබ වෙනුවෙන් ම,Religious,ගන දව වනදනම කරන ඔබ
702,ගණ දෙවියන් යනු ජීවමාන දෙවි කෙනෙක් ඔබට ගණ දෙවියන්ගේ ප්‍රාතිහාර්යයන් අත්විදින්නට ලැබුනු අවස්ථා බොහෝමයක් ඇති එක් අත්දැකීමක් comment කරල අදහස් බෙදාගමු,Religious,ගන දව යන ජවම දව කන ඔබට ගන දව පරතහරය අතවදනන ලබ අවසථ බහමය එක අතදකම  කරල අදහස බදග
704,ගණ දෙවියනි අ​පේ රට සියලු කරදරවලින් ආරක්ෂා කරලා දෙන්න 🙏,Religious,ගන දව අප රට සයල කරදර අරකෂ කර ද
706,ගණ දෙවිදුන් වන්දනාමාන කරන ශ්‍රී ලාංකික බැතුමතුන් උදෙසා,Religious,ගන දවද වනදනම කරන ලකක බතමත
708,යෙසුස් වහන්සේ ඔබගේ ප්‍ර්මය නිසා මම අද ජීවත් වෙමි ඔබට ස්තුතයි,Religious,යසස වහනස ඔබ පරම මම අද ජ ව ඔබට සතත
710,තොපිඔයධර්මයඅනුගමනයකරනහැටිද😠😠😠😠,Religious,තපඔයධරමයඅනගමනයකරනහටද
712,තවමත් ඔබ කනස්සල්ලෙන්ද  ජීවිතයේ වෙනසක් අවශ්‍යද  එසේනම් Amen කියා Comment කරන්න,Religious,තවම ඔබ කනසසලලන ජවත වනස අවෂය එසන  ක  කර
714,ලව්ඩ්ස් පීකර් දාල ශබ්ද දූෂණය කරන එකද බුද්ධ සාසනේ,Religious,ලවඩස පකර දල ෂබ දෂන කරන එකද බදධ සසන
716,ඝණ දෙවි පිහිට ලැබේවා ඝණ දෙවියන්ට බොහෝ පින් 💜️💜️💜️💜️💜️,Religious,ගන දව පහ ලබ ගන දවයන ප
718,ඉස්සර දහම් පාසලේ ගුණධර්ම කියලා දුන්නු ගුරුවරු දැන් දැක්කම අහක බලාගෙන යන්නේ හරියට අපි එයාලට ගුණධර්ම ඉගැන්නුවේ නැහැ වගේ 🤓,Religious,ඉසසර දහ පසල ගනධර කය දන ගර දකක අහක බලග ය හරය අප එයල ගනධර ඉගනන නහ වග
720,ඕම් ශ්‍රී මහා ගනේශාය නමෝ නමහහ් ,Religious,ඔම ගනෂ නම නමහහ
722,ආගමේ හැටි ඔහොම තමයි,Religious,අග හට ඔහ තම
724,ආගමජාතිය විතරක්යැයි බොම්බයි ලූණුත් අනතුරේ බොලකට පියං හිටු😂😂😂😂,Religious,අගමජත වතරකය බමබ ලන අනතර බලක පය හට
726,ආගම ජාතිය  සංස්කෘතිය මාර්කට් කරමින් බේගල් වපුරමින් තමාට ප්‍රතිරූපයක් ගොඩනගාගන්නට වෙර දරන නාථවාදී මහැඳුරන් ,Religious,අගම ජත සසකත මරකට කර බගල වපර තම පරතරපය ගඩනගගනන වර දරන නථවද මහදර
728,අසිත දේශප්‍රි​ය බැතිමතාගේ ගණ දෙවි පූජාව,Religious,අසත දෂපර බතමත ගන දව පජ
730,අයින්ස්ටයින් බුදු දහම දැන සිටියාද,Religious,අයනසටය බද දහම දන සටය
732,අබ්බා පියාණනි මුලු ලොවටම ඇසෙන්නට ආදරෙයි කියමි ආමෙන්,Religious,අබබ පයන මල ලවට ඇසනන අදර කය අ
734,අපේ රටේ ජනතාවගෙ තියෙන මේ දුර්වලකම හදාගමු නේද මොකද කියන්නෙ මිත්‍යා මත මිත්‍යා විශ්වාස පසුපස යන එක දැන් වත් නතර කරන්න 🙏🙏🙏😌,Religious,අප රට ජනතව තය දරවලක හදග නද මක කයනන මත මත වෂවස පසපස එක නතර කර
736,අපිට යහමග පෙන්වාදී අප රැකගන්නා බැටළු එඩෙරාණනී සුභ උපන් දිනයක් වේවා දෙවියන්ගේ ආරක්ෂාව ආශිර්වාදය නිරතුරුවම ලැබේවා,Religious,අප යහමග පනවද අප රකගන බටල එඩරනන සබ උ දනය ව දව අරකෂ අෂරවද නරතරව ලබ
738,අපි සැම දෙනාම ආදරය කරන අපේ එඩේරාණන් වන  ගරු මැල්කම් කාදිනල් රංජිත් හිමිපාණෙනි  සුබ උපන් දිනයක් වේවා,Religious,අප සම දන අදර කරන අප එඩරන ගර මලක කදනල රජ හමපන සබ උ දනය ව
740,අපි යාච්ඤාව කළ යුත්තේ ඇයි ,Religious,අප යචඥ කල යතත
742,අපගේ සියලු කරුණු සඵල කරන ස්වාමීන් වහන්සේට මහිමය වේවා ප්‍රශංසා වේවා ආමෙන්,Religious,අප සයල කර සපල කරන සවම වහනස මහම ව පරෂස ව අ
744,අප කිතුනුවෙක් නමට පමණක් සීමා සිටීම වැරදියි අප වෙනුවෙන් ජීවිතය පූජා කල ජේසූට අප කුමක් කලෙමු ද කියා සිතන්න අපට ලැබෙන මාසික ආදායමෙන් සියයට පහක මුදලක් පරිත්‍යාග කරමු,Religious,අප කතනව නමට පමන සම සට වරද අප ජවත පජ කල ජස අප කම කල ක සත අපට ලබ මසක අදය සයය පහක මදල පරතයග කර
746,අප අතරින් වියෝවූ ලෝකී තරුණ මහතාට සහ ගමෝරා මෙනවියට මොක් සුව පතමු ,Religious,අප අතර වයව ල තර මහත ගමර මනවය ම සව පත
748,අප නෙත් යොමුකර සිටින්නේ දෘශ්‍යමාන දේ දෙස නොව අදෘශ්‍යමාන දේ දෙස ය දෘශ්‍යමාන දේ තාවකාලික ය අදෘශ්‍යමාන දේ සදාතනික ය    කොරින්ති     ,Religious,අප න යමකර සට දෂයම ද දස නව අදෂයම ද දස දෂයම ද තවකලක අදෂයම ද සදතනක කරන
750,අද ක්‍රිස්තු රජාණන්ගේ මංගල්‍යය දිනයි…,Religious,අද කරසත රජන මගලය දනය
752,භාග්‍යවත් සම්බුදුරජානන්වහන්සෙට නමස්කාර වෙවා,Religious,බගය සමබදරජනනවහනස නමසකර ව
754,බෞද්ධ කොඩියෙ පාට පහවත් පිළිවෙලට කියාගන්න බැරි සමහර මිනිස්සු අපේ ජාතක පොතම හොයන්න එනව නේද​  එක වචනයයිබුවෑක්කා 😌  ඌරො…,Religious,බදධ කඩය පට පහ පලවල කයග බර සමහර මනසස අප ජතක පත හය එනව නද එක වචනයයබවක  උර
755,බෞද්ධ කොඩියෙ පාට පහවත් පිළිවෙලට කියාගන්න බැරි සමහර මිනිස්සු අපේ ජාතක පොතම හොයන්න එනව නේද​  එක වචනයයිබුවෑක්කා 😌  ඌරො වගෙ නහයවල් උස්සගෙන අනුන්ගෙ කුණු හොයන්න ඕනම කියල එකක් නෑ 🐽  අනුන්ගෙ කළුගල් වලට බෝර දාන්න කලින් තනියම බ්ලොග් ගලක්වත් හදාගත්තනම් බං ඇත්තටම​ වටිනවා 😁  ජය​  🖤,Religious,බදධ කඩය පට පහ පලවල කයග බර සමහර මනසස අප ජතක පත හය එනව නද එක වචනයයබවක  උර වග නහය උසසග අනන ක හය ඔනම කය එක  අනන කලගල වලට බර ද කල තනය බලග ගලක හදගතතන බ ඇතතටම වට  ජය
758,බෞද්ධ කියාගත්තු උං චිකන් අඩු ගිලින ගමං මුස්ලිම් අය හරක් මරන එක හෙලා දකිනෝළු ඉදකින්වත්  බලපිය තොපි රෙදි ඇදගෙනද ඉන්නේ කියලා😡,Religious,බදධ කයගතත උ චක අඩ ගල ගම මසල අය හර මරන එක හ දකනල ඉදකන බල තප රද ඇදගන ඉ කයල
760,බැති සිතින් යුතුව පින් අනුමෝදන් වෙමි සාදු සාදු සාදු,Religious,බ සත යත ප අනමද ව සද සද සද
762,බුද්ධාගමේ තියරි හැර,Religious,බදධග තයර
764,බුද්ධාගම දැනට නොගැලපුනත් පට්ට පුරාවිද්‍යාත්මක සංස්කෘතික වටිනාකමකින් හා දැනුම් පද්ධතියකින් හෙබියිනම්ඒ දැනුම් පද්ධතිය කේක් ගෙඩියකට සමාන කරානම්උබලා කරේ ඒ කේක් ගෙඩිය ගූ දාල ගූ වලින් අයිසින් කරල කැත කරල නවත්තපු එකදැන් ඒක ගූ තලිය ඇතුලේ කේක් එකක් තිබ්බත් කේක් එකක් නෙවේ ගූ තලියක් වගේ පේන්නේ,Religious,බදධග නගලප පට පරවදයත සසකතක වටනක දන පදධත හබයනමඑ දන පදධත ක ගඩයක සම කරනමඋබ කර ක ගඩ ග දල ග  අයස කරල කත කරල නවතත එකද එක ග තල ඇතල ක එක තබබ ක එක න ග තලය වග ප
766,බලන්නකෝ ලස්සන අපේ ගණ දෙවියන්ගේ  🌺🙏,Religious,බලනනක ලසස අප ගන දව
768,රෝමානු කතෝලික වූ අයෙක් සිංහල බෞද්ධ වුණේ ඇයි දැයි මගෙන් ප්‍රශ්න කරනවා උත්තරේ නම් රෝමන්කාරයෝ කතෝලික වෙච්චි සිංහලයෝ බෞද්ධ වෙච්චි ඒ හැර ධර්මය සිංහලයාට ම ය සිංහලයාගේ ය කියා කේවල් කිරීමක් නැත පරම්පරා පහ හයකට හත ,Religious,රම කතලක ව අය සහ බදධ ව ද ම පරෂ කර උතතර රමනකර කතලක වචච සහල බදධ වචච ධරම සහලය සහල ක ක කරම නත පරමපර පහ හයක හත
770,රහත් හිමිවරුන් Charitha Rakshitha Attalage ගෙ අලුත්ම වැඩේ 😍  ලංකාවෙ නහයෙන් අඬපු අඳෝනා සංගීතමය  ද නොවුණු කලාවක් ද නොවුණු මොකක් දෝ එකේ අවසානය සනිටුහන් කරපු සංගීත අධ්‍යක්ෂකවරුන්ගෙන්  කෙනෙක් තම යි Charitha Rakshitha Attalage  ,Religious,රහ හම    ග අලත වඩ  ලකව නහ අඬ අද සගතම නව කලව නව මක එක අවසන සනටහ කර සගත අධයකෂකවර කන තම ය
772,රටටම කිරි ඉතිරෙන  සුබ තෛපොංගල් දිනයක් වේවා  DanumaLK Thaipongal Pongal lka ictapi tvdanuma ,Religious,රටට කර ඉතර සබ තපගල දනය ව
774,නසිය කිව්වත් 👊 නානා  කිව්වත් 👍 තම්බි කිව්වත් 💪 කිව්වේ ආදරයට 😍 Mohamed Nazeem අපේ ආදරණිය සටන් සගය  👏 බෙදුනු රටක් එක්කරන්න  දිවි පරදුවට තියලා ගේමක් ගහපු කොල්ලෙක් 🙏 නම Nazeem නිසා 😀 නසිය කියනවා 😍 මුස්ලිම් සහෝදරයෙක් ,Religious,නස කව  න කව  තමබ කව  කව අදරය    අප අදරන සට සගය  බද රට එකකර දව පරදව තය ගම ගහ කලල  නම   නස කය  මසල සහදරය
776,නිවන් දැකීමෙන්  සියල්ල අවසන් වනවානම් එහි ආරම්භය කුමක්ද  සංසාර ආරම්භය ,Religious,න දක සයල අවස වනවන එහ අරමබ කමක සසර අරමබ
778,නිරාගමිකයා උබල ඇයි බන් රතන සූත්‍රය දේශනා කරන්න කීවේපිරිත් පැන් ඉසින්න කීවේ කොරෝනා හොද උනාද ඉතින්😕 බෞද්ධයා උබට බෞද්ධ දර්ශනය පිලිබද නිසි අවබෝධයක් නැති බව පෙනී යනව බන් නිරාගමිකයා එල 🤝🤝🤝 😂😂😂😂😂😂🤝🤝🤝,Religious,නරගමක උබල බන රතන සතර දෂ කර කවපර ප ඉස ක කර හද උන ඉතන බදධ උබට බදධ දරෂන පලබ නස අවබධය න පන යනව බන නරගමක එල
780,ජෙසු ජීවමානයි ,Religious,ජස ජවමන
782,ජේසුස් වහන්සේගේ උපත පිළිබඳව ගාබ්‍රියෙල් දේවදූතයා මරිය තුමියට දැනුම් දීම ,Religious,ජසස වහනස උපත ගබරයල දවදත මර තමය දන දම
784,ජේසුස් වහන්සේ ජෙරිකෝවට සමීප වූ කල එක් අන්ධයෙක් සිඟමින් පාර අයිනේ ඉඳගෙන සිටියේ ය,Religious,ජසස වහනස ජරකව සමප ව කල එක අනධය සග පර අයන ඉදග සට
786,ජේසුට ඔබේ ජීවිතය වෙනස් කල හැක,Religious,ජස ඔබ ජවත වනස කල හක
788,ජේසුනි ඔබ ශුද්ධ යි ආමෙන්,Religious,ජස ඔබ ෂදධ ය අ
790,ජේසුනි මගේ මේ පුංචි ඉල්ලීම ඉටු කර දුන මැනව,Religious,ජස මග පච ඉලල ඉට කර දන මන
792,ජේසු දන්නවා අපිට ඕනි දේ නැති දේ අපිට වඩා ඇත්තට ඉල්ලන්න ඕනි අපිට ඕනි දේවල් අපිට ඕනි වෙලාවට ලබා දෙන්න කියල විතරයි,Religious,ජස දන අප ඔන ද න ද අප ඇතත ඉලල ඔන අප ඔන ද අප ඔන වලව ලබ ද කය වතර
794,ජිවිතේ බාධා දුරුකරන ගණ දෙවියනි ඔබට ස්තූතියි ,Religious,ජවත බධ දරකර ගන දව ඔබට සතත
796,ජනවර්ගවල ආගමික සංස්කෘතික උරුමයන්ට ගරු කරමින් එක්සත්ව දිවිගෙවමු  via  News Alert,Religious,ජනවරග අගමක සසකතක උරමයන ගර කර එකසත දවගව
798,උතුම් ශ්‍රී මුඛ බුද්ධ වචන ගංගාව ලෝ සතුන්ගේ සසර දුක නිවාලමින් බොහෝ කල් ගලා බස්නා සේක්වා,Religious,උත මක බදධ වචන ගග ල සත සසර දක නවල කල ගල බස සක
800,උබලා ගැහුවෙ කාටද IS කාරයින්ටද එහෙමත නැත්නම් ජමාත් කාරයන්ටද නෑ නේද උබල ගැහුවෙ එදා වේල හම්බ කරගන්න මහන්සි වෙන  මහන්සි වෙන උබලගෙම පංතියෙ මිනිස්සුන්ට නේද උබලා ගිනි තිබ්බෙ ISIS කාරයො ගහන්න ආව වාහන වලටද නෑ උබ ගැහුවෙ අහිංසක මනුස්සයෙක් දුක් මහන්සියෙන් හම්බ කරලා ගමනක් බිමනක් යන්න ගත්ත බයිසිකලේට හිතපල්ලා උබලා ගැහුවෙ ගිනි තිබ්බෙ බෝම්බ හැදුව කර්මාන්ත ශාලාවටද නෑ ඒ මනුස්සයා එදාවේල හම්බු කරන් කාපු පෙට්ටි කඩේට  උබලා කියනවා මුස්ලිම් කඩ වර්ජනය කරපල්ලා කියලා මරු බං එහෙම කරපං එතකොට ඒ ව්යාපාර වැහිලා ඒ මිනිස්සු පාරට වැටෙනවා කියලද හිතන් ඉන්නෙනෑ බං උන් පරම්පරා ගානකට හම්බකරලා තියෙන්නෙ ඒකෙන් ජොබ් නැතිවෙලා පාරට වැටෙන්නෙ අපේම සින්හල කෙල්ලො කොල්ලො මොකද එවයේ වැඩ කරන්නෙ බහුතරයක් මුස්ලිම් මිනිස්සු නෙවෙ බං සිංහල මිනිස්සු  මේකට විසදුම පලිගැනීම නෙවේ බං සිංහල දෙමල මුස්ලිම් අපි ඔක්කොම එකට ජීවත් වෙන එකඑකට එකතු වෙලා මේක පරද්දන එක මේක මුස්ලිම් සමාජයේ ඇති වෙච්ච දෙයක් මේක නවත්වන්න ප්‍රදාන කාර්යක් කරන්න තියෙන්නෙ මුස්ලිම් මිනිස්සුන්ට උබලා මේ කරන වැඩෙන් වෙන්නෙ පොඩි කන්ඩායමක්ව ඉන්න තව්හිඩ් කාරයොන්ට තවත් කට්ටිය එකතු වෙන එක  රටට ආදරේ නම් අපි මේක සංහිදියාවෙන් විසදගමු මේකත තවත් කලු ජූලියක් කර නොගනිමු ගින්න තියන්න ලේසි ඒත් මේක නිවන්න තව පරම්පරා ගානක් ලේ හොල්ලන්න වෙන්නත් පුලුවන් කල්පනාවෙන් වැඩකරමු කඩිසරයල් කඩිසරයල්ගෙ පෑන් තුඩින්,Religious,උබ ගහව කට  කරයනට එහමත නතන ජම කරයනට නද උබල ගහව එද වල හමබ කරග මහනස මහනස උබලග පතය මනසසන නද උබ ග තබබ  කරය ගහ අව වහ වලට උබ ගහව අහසක මනසසය ද මහනස හමබ කර ගමන බමන ය ගතත බයසකල හත උබ ගහව ග තබබ බමබ හද කරමනත ෂලවට මනසස එදව හමබ කර ක පටට කඩ උබ කය මසල කඩ වරජන කර කය මර බ එහ කරප එතක වයපර වහ මනසස පර වට කයල හත ඉනනන බ උන පරමපර ගනක හමබකර තයනන එ ජබ නතව පර වටනන අප සනහ කලල කලල මක එව වඩ කරනන බහතරය මසල මනසස නව බ සහ මනසස මක වසද පලගන න බ සහ දම මසල අප ඔකක එකට ජ එකඑක එකත ව මක පරදද එක මක මසල සමජ වචච දය මක නවතව පරද කරය කර තයනන මසල මනසසන උබ කරන වඩ වනන පඩ කනඩයමක ඉ තවහඩ කරයන කටට එකත එක රටට අදර අප මක සහදය වසදග මකත කල ජලය කර නගන ග තය ලස එත මක නව පරමපර ගන ල හලල වනන පල කලපන වඩකර කඩසරයල කඩසරයල ප තඩ
802,උන් වහන්සේ ශ්‍රාවකයන්ට මෙ‍සේ වදාළ සේක ”මනුෂ්‍යපුත්‍රයාණන් වැඩ සිටින දවස්වලින් එකක් වුව ද දැකීමට ඔබ ආශාවන කාලයක් පැමිණෙයි,Religious,උන වහනස ෂරවකයන මස වදල  මනෂයපතරයන වඩ සට දවස එක වව දකම ඔබ අෂව කලය පමන
804,උන් වහන්සේ අගනුවරට ළඟා වී එය දුටු විට නුවර ගැන හඬමින් මෙ‍සේ වදාළ සේක,Religious,උන වහනස අගනවර ලග ව එය දට නවර හඬ මස වදල
